378	5094	8880	814	3989	2118	9674	2310	8677	2627	9245	3807	3775	2422	852	3229	5933	183	4076	1285	3352	5685	4291	6439	8994	349	3428	7590	8435	1789	5819	2329	2738	9038	9234	815	3493	4109	3616	4767	6447	2856	9695	6751	1805	4174	7951	3272	5222	8676	6280	3726	5167	3020	5080	1561	3897	666	3034	407	7953	7972	8713	3562	9652	9738	974	9933	2921	3927	8426	5293	7215	9824	9952	6246	6590	8452	3000	6952	6055	5340	9945	702	3990	4377	7891	5397	9174	5079	8309	1015	1736	7176	6568	1350	5475	2054	6563	6504	
8673	7678	290	7457	6077	4402	4793	3469	7253	2855	6856	8897	3069	4846	9688	2308	4098	4828	5058	9252	6305	4284	6349	4091	3546	1305	5530	5185	1658	348	3823	6832	9897	7724	1982	12	5722	1983	308	8721	9898	9568	2452	3181	8173	1433	238	7919	8469	1547	5911	7508	1172	7944	7206	9884	8071	7948	8556	3407	4965	1663	6942	8333	6175	4986	6054	2459	5695	9405	9281	2881	8331	3135	5134	4846	9265	5218	5017	1938	3969	835	85	145	6105	9800	863	9325	8757	9434	7007	791	2284	8839	5016	4380	819	9396	1335	9186	
5956	7890	6048	4542	748	6143	1838	9254	2772	636	6905	7009	1898	5958	3734	8329	8991	3287	4820	2231	5458	3638	6691	3940	9012	9893	1779	9274	6232	7714	4639	1077	4745	3531	5360	8347	221	2179	9686	1146	6379	6825	4175	1483	918	164	1551	8059	2111	4710	4917	9988	1609	9614	318	3951	606	9711	6419	8654	3422	2304	1862	7950	2593	8357	9578	2214	1025	4582	8348	3345	7787	3431	1161	1594	6632	7037	2094	2461	9275	8107	8552	3591	6183	226	9121	2831	1711	7824	8341	3464	7352	5746	2288	5631	5982	7946	9445	9515	
3532	7854	1833	3508	7996	3848	597	8240	7125	7758	6723	4664	9172	8034	7326	3229	1777	7965	8521	1069	674	1822	4841	3649	2028	8492	7525	9870	6029	8253	5855	1183	2036	2496	2445	1559	5938	4270	6490	4043	2537	4420	1046	1171	2725	7211	4248	5560	700	2576	4847	6591	7199	7714	9617	2334	7746	1561	4426	190	3645	5859	9215	336	3213	9316	8927	1482	7997	6388	9632	6216	7112	2433	3401	9096	8933	6620	6506	995	6613	4151	2994	7940	7939	3356	2786	7930	1654	171	9531	3779	6729	1905	5369	549	4286	1477	2073	8303	
598	9171	5767	3813	8402	3489	3541	8658	4006	1501	2456	4831	3290	4819	2749	1624	5321	6791	7128	7110	726	3076	9174	5166	8742	9737	7438	3081	4688	9888	4500	6422	4834	9967	9776	9858	2603	927	1712	3411	5705	3010	8820	6019	2211	5090	6925	2264	4938	7922	267	4081	5350	5303	3888	5266	3037	3200	5800	102	3026	2662	1930	713	5007	1755	5653	3000	4691	5880	2507	3349	246	181	2914	9318	918	1216	6518	2480	3912	6343	2191	7694	6900	3666	6370	877	2852	7625	7914	1696	657	5959	1205	5903	7749	9566	6191	2342	
5949	7563	8744	2956	1032	7578	3088	9732	7541	234	3514	8831	7162	7427	296	8429	272	8227	5496	1999	6556	1809	3750	5726	8346	998	9580	6067	7739	2124	9901	2704	5466	6367	6643	898	2453	408	7656	7863	2764	6353	5382	467	7137	5180	898	8704	4193	5597	7060	2373	4447	1584	7566	891	7211	7926	3823	914	8817	4529	3529	2787	1715	446	3498	2137	2278	7887	88	4994	8664	1928	6800	7395	3583	8357	2727	805	4783	1213	6805	627	4967	4698	9643	3616	543	5234	6602	5103	8797	1852	558	9848	658	4845	67	2202	
8108	5408	4808	6063	1660	6466	2188	142	3736	6106	9371	4367	163	6693	6942	864	9566	1872	1169	206	8934	3074	2402	733	1608	7201	7265	9995	5437	4245	9703	8295	9346	8387	2652	3267	5557	531	7049	6578	1674	8968	9324	9809	5311	6903	9540	809	1310	8767	1080	3538	451	9450	3046	5711	2208	9372	7240	1389	6134	9811	6706	9905	3668	581	6031	4842	7560	9921	6467	2344	8397	5965	8336	1704	7824	3027	3297	2578	3603	5373	7477	8283	1380	9820	2662	2608	5931	4498	154	2100	9690	257	8248	4528	5218	1784	7528	9875	
6966	2409	8671	4613	5598	2428	8428	3693	8040	7606	7037	2936	219	7892	6905	3571	6916	1410	1473	3051	6982	361	1746	2439	397	634	9668	5845	9964	1835	1548	2682	4508	6790	5050	9915	1356	569	7200	807	296	2298	6544	7060	2369	2770	1641	2637	1141	2163	2657	7766	7639	7947	9676	9159	3571	7295	3214	6807	198	4942	3917	6355	6666	7349	7978	6057	1334	3409	1530	1343	2632	1188	5204	4768	9315	7959	714	6518	9852	1525	2356	1797	8566	4530	9057	2269	8412	8289	6159	4842	6264	9448	5875	4070	3826	8350	6789	2559	
7178	8511	6376	8433	383	470	1410	3589	8329	2867	3726	1590	7057	6310	7060	1533	3874	2360	3416	1887	854	2489	5041	2974	5950	476	3395	950	1224	3075	7336	1582	362	1934	67	5467	6270	7215	3138	1461	5944	6083	8505	7547	993	8742	7377	6540	5167	1335	2004	1246	7722	159	1728	634	6432	6821	7484	3149	3539	7280	8790	6498	2200	9622	3982	1269	512	2205	951	2918	9176	9891	8353	6584	1178	7911	8551	7076	8772	3564	7717	1058	523	8003	9766	1552	2306	2561	4458	7496	11	1503	7619	2700	688	2907	4602	5984	
6928	6212	4328	5236	3899	4417	548	2310	3429	826	9498	262	9851	8505	6613	5122	7033	4572	6609	8729	9757	570	1601	5198	5032	2719	5902	1260	7959	2257	8031	9818	3373	351	5796	5260	4867	6009	8198	875	5270	5869	5200	2841	7033	6880	4924	7673	134	9546	4373	2992	3721	2266	8855	1772	2733	4868	9058	6794	5910	6792	1997	1818	1145	4177	2091	5003	6482	7598	7001	3069	7884	3680	2968	4057	9157	4363	8037	3744	118	9953	1585	1567	9583	7863	3325	8584	5267	4349	3579	3748	2984	9702	8431	4404	977	9800	8167	4592	
